,date,no_data,no_water,water,total_pixels,total_obs,prop_water,prop_obs,prop_water_dq,prop_obs_gt_dq
202,2001-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
203,2001-02-01,10945.992156862743,1973943.3607842955,165926.93333333335,2150816.286274492,2139870.2941176286,0.07754064991203263,0.9949107730740577,0.07754064991203263,0.13
204,2001-03-01,9793.996078431372,1964920.1176470406,176102.17254901963,2150816.286274492,2141022.29019606,0.08225144285298094,0.9954463818500295,0.08225144285298094,0.13
205,2001-04-01,19614.77254901961,1962170.0784313544,169031.43529411763,2150816.286274492,2131201.513725472,0.0793127417588214,0.990880312431056,0.0793127417588214,0.13
206,2001-05-01,319.0,1983202.596078413,167294.69019607845,2150816.2862744913,2150497.2862744913,0.07779349049349361,0.9998516842177383,0.07779349049349361,0.13
207,2001-06-01,35116.68235294117,1985709.1098039031,129990.49411764706,2150816.2862744913,2115699.6039215503,0.06144090298863954,0.9836728582645392,0.06144090298863954,0.13
208,2001-07-01,10652.627450980392,1966528.8274509623,173634.83137254903,2150816.286274492,2140163.658823511,0.08113156704473685,0.9950471699889196,0.08113156704473685,0.13
209,2001-08-01,262.0,1978831.3490195896,171722.93725490198,2150816.286274492,2150554.286274492,0.07985054753134636,0.9998781857838478,0.07985054753134636,0.13
210,2001-09-01,4641.3647058823535,1975375.596078413,170799.32549019606,2150816.2862744913,2146174.9215686093,0.07958313358976407,0.9978420450247187,0.07958313358976407,0.13
211,2001-10-01,2144.0,1974700.9882352757,173971.2980392157,2150816.2862744913,2148672.2862744913,0.08096688320062922,0.9990031691624793,0.08096688320062922,0.13
212,2001-11-01,19206.12156862745,1966203.6039215503,165406.5607843137,2150816.2862744913,2131610.164705864,0.07759700320585484,0.9910703105182941,0.07759700320585484,0.13
213,2001-12-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
214,2002-01-01,2150816.2862744904,0.0,0.0,2150816.2862744904,0.0,,0.0,,0.0
215,2002-02-01,9631.996078431373,1961130.513725472,180053.77647058823,2150816.2862744913,2141184.29019606,0.084090742349927,0.9955217020905514,0.084090742349927,0.13
216,2002-03-01,16534.274509803923,1955200.470588217,179081.5411764706,2150816.2862744913,2134282.0117646875,0.0839071594987584,0.9923125584387109,0.0839071594987584,0.13
217,2002-04-01,1271228.7568627424,846939.1647058714,32648.364705882355,2150816.286274496,879587.5294117538,0.03711781217239036,0.40895521157472636,,0.0
218,2002-05-01,57682.42352941185,1927004.294117629,166129.56862745096,2150816.286274492,2093133.8627450801,0.07936882183425058,0.9731811480610808,0.07936882183425058,0.13
219,2002-06-01,38599.81176470591,1952186.77647057,160029.6980392157,2150816.2862744913,2112216.4745097854,0.07576387172927257,0.9820534129246501,0.07576387172927257,0.13
220,2002-07-01,777.0,1980665.082352923,169374.20392156864,2150816.286274492,2150039.286274492,0.07877726002628258,0.9996387418093501,0.07877726002628258,0.13
221,2002-08-01,4292.603921568628,1980473.945098021,166049.73725490196,2150816.286274492,2146523.682352923,0.077357514673626,0.9980041977787865,0.077357514673626,0.13
222,2002-09-01,180.0,1985396.219607825,165240.06666666665,2150816.286274492,2150636.286274492,0.07683310642587038,0.9999163108438649,0.07683310642587038,0.13
223,2002-10-01,369282.3529411764,1615410.87058822,166123.06274509805,2150816.2862744946,1781533.933333318,0.09324720659924533,0.8283059528153268,0.09324720659924533,0.13
