Program Type,Community Type,Revitalizations ,,Street Address,City Jurisdiction,,Management Agent,Community Name,Property Type,PHA,RAD/PBV,HomeFlex,HomeFlex/Haven,VMS Reporting Total Available HomeFlex Units ,LIHTC,Market,"Other (EE/Officer, Voucher, Other PHA )",TOTAL Units,% Subsidized
HomeFlex/Mixed,Sponsored,Harris Homes,,387 Joseph E. Lowery Boulevard,Atlanta,,Integral Property Management,Ashley CollegeTown II,Family,70, 	-   , 	-   , 	-   ,, 	33 , 	70 , 	4 ,177 ,39.5%
Mixed,Sponsored,Kimberly Courts,1,1371 Kimberly Way,Atlanta,,Integral Property Management,Ashley Courts at Cascade I,Family,46, 	-   , 	-   , 	-   ,, 	45 , 	36 , 	25 ,152 ,30.3%
HomeFlex/Mixed,Sponsored,Kimberly Courts,,1371 Kimberly Way,Atlanta,,Integral Property Management,Ashley Courts at Cascade II,Family,41, 	-   , 	-   , 	-   ,, 	30 , 	46 , 	19 ,136 ,30.1%
Mixed,Sponsored,Kimberly Courts,,1371 Kimberly Way,Atlanta,,Integral Property Management,Ashley Courts at Cascade III,Family,29, 	-   , 	-   , 	-   ,, 	24 , 	28 , 	15 ,96 ,30.2%
Mixed,Sponsored,Techwood Homes,,717 Lee Street,Atlanta,,Integral Property Management,Ashley Terrace at West End,Family,34, 	-   , 	-   , 	-   ,, 	34 , 	44 , 	- 0,112 ,30.4%
HomeFlex/Mixed,Sponsored,Harris Homes,,435 Joseph E. Lowery Boulevard,Atlanta,,Mercy Housing,Atrium at CollegeTown,Senior,76, 	-   ,114, 	-   ,, 	- 0, 	- 0, 	- 0,76 ,250.0%
HomeFlex/Mixed,Sponsored,Capitol Homes,1,79 Woodward Avenue,Atlanta,,Integral Property Management,Capitol Gateway I,Family,89, 	-   , 	-   , 	-   ,, 	74 , 	106 , 	- 0,269 ,33.1%
HomeFlex/Mixed,Sponsored,Capitol Homes,,79 Woodward Avenue,Atlanta,,Integral Property Management,Capitol Gateway II,Family,49, 	-   ,16, 	-   ,, 	26 , 	61 , 	- 0,136 ,47.8%
Mixed,Sponsored,Centennial Place,,526 Centennial Olympic Park Drive,Atlanta,,Integral Property Management,Centennial Place I,Family, 	-   , 	-   ,74, 	-   ,, 	36 , 	71 , 	- 0,107 ,69.2%
Mixed,Sponsored,Centennial Place,,526 Centennial Olympic Park Drive,Atlanta,,Integral Property Management,Centennial Place II,Family, 	-   , 	-   ,70, 	-   ,, 	36 , 	71 , 	- 0,107 ,65.4%
Mixed,Sponsored,Centennial Place,,526 Centennial Olympic Park Drive,Atlanta,,Integral Property Management,Centennial Place III,Family, 	-   , 	-   ,74, 	-   ,, 	37 , 	74 , 	- 0,111 ,66.7%
Mixed,Sponsored,Centennial Place,,526 Centennial Olympic Park Drive,Atlanta,,Integral Property Management,Centennial Place IV,Family, 	-   , 	-   ,83, 	-   ,, 	17 , 	95 , 	- 0,112 ,74.1%
Mixed,Sponsored,Perry Homes,,1903 Drew Drive NW,Atlanta,,Columbia - AHP,Columbia Creste,Family,61, 	-   , 	-   , 	-   ,, 	19 , 	72 , 	- 0,152 ,40.1%
Mixed,Sponsored,Perry Homes,,1783 Johnson Road NE,Atlanta,,Columbia - AHP,Columbia Grove,Family,56, 	-   , 	-   , 	-   ,, 	41 , 	41 , 	- 0,138 ,40.6%
HomeFlex,Sponsored,Perry Homes,,1900 Perry Boulevard,Atlanta,,Columbia - AHP,Columbia Heritage,Senior, 	-   , 	-   ,124, 	-   ,, 	- 0, 	6 , 	2 ,8 ,1550.0%
HomeFlex,Sponsored,Perry Homes,,220 Bowen Circle,Atlanta,,Columbia,Columbia High Point (Senior),Senior, 	-   , 	-   ,94, 	-   ,, 	- 0, 	- 0, 	- 0,0 ,
HomeFlex/Mixed,Sponsored,Harris Homes,,899 Park Street,Atlanta,,Integral Property Management,Gardens at CollegeTown,Haven,26, 	-   , 	-   , 	-   ,, 	- 0, 	- 0, 	- 0,26 ,100.0%
Mixed,Sponsored,John Eagan Homes,,60 Paschal Boulevard,Atlanta,,Hammond Residential,Magnolia Park I,Family,87, 	-   , 	-   , 	-   ,, 	22 , 	88 , 	23 ,220 ,39.5%
Mixed,Sponsored,John Eagan Homes,,60 Paschal Boulevard,Atlanta,,Hammond Residential,Magnolia Park II,Family,73, 	-   , 	-   , 	-   ,, 	27 , 	72 , 	8 ,180 ,40.6%
HomeFlex/Mixed,Sponsored,McDaniel Glenn,,565 Wells Street,Atlanta,,Columbia - AHP,Mechanicsville Crossing,Family,68, 	-   ,30, 	-   ,, 	- 0, 	66 , 	- 0,134 ,73.1%
HomeFlex/Mixed,Sponsored,McDaniel Glenn,,520 Fulton Street,Atlanta,,Columbia - AHP,Mechanicsville Station,Family,63, 	-   ,35, 	-   ,, 	- 0, 	66 , 	- 0,129 ,76.0%
